Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,985,4.0,4,,,,,,
,,,,,989,4.0,4,,,,,,
,,,,,995,6.0,6,,,,,,
,,,,,998,3.0,3,,,,,,
,,,,,1004,6.0,6,,,,,,
,,,,,1009,5.0,5,,,,,,
,,,,,1014,5.0,5,,,,,,
,,,,,1017,3.0,3,,,,,,
,,,,,1024,7.0,7,,,,,,
,,,,,1029,5.0,5,,,,,,
,,,,,1033,4.0,4,,,,,,
,,,,,1036,3.0,3,,,,,,
,,,,,1044,8.0,8,,,,,,
,,,,,1050,6.0,6,,,,,,
,,,,,1060,10.0,10,,,,,,
,,,,,1068,8.0,8,,,,,,
,,,,,1073,5.0,5,,,,,,
,,,,,1078,5.0,5,,,,,,
,,,,,1081,3.0,3,,,,,,
,,,,,1097,16.0,16,,,,,,
,,,,,1102,5.0,5,,,,,,
,,,,,1106,4.0,4,,,,,,
,,,,,1111,5.0,5,,,,,,
,,,,,1117,6.0,6,,,,,,
,,,,,1123,6.0,6,,,,,,
,,,,,1132,9.0,9,,,,,,
,,,,,1139,7.0,7,,,,,,
,,,,,1143,4.0,4,,,,,,
,,,,,1149,6.0,6,,,,,,
,,,,,1153,4.0,4,,,,,,
,,,,,1171,18.0,18,,,,,,
,,,,,1174,3.0,3,,,,,,
,,,,,1178,4.0,4,,,,,,
,,,,,1190,12.0,12,,,,,,
,,,,,1193,3.0,3,,,,,,
,,,,,1198,5.0,5,,,,,,
,,,,,1202,4.0,4,,,,,,
,,,,,1207,5.0,5,,,,,,
,,,,,1215,8.0,8,,,,,,
,,,,,1218,3.0,3,,,,,,
,,,,,1221,3.0,3,,,,,,
,,,,,1233,12.0,12,,,,,,
,,,,,1238,5.0,5,,,,,,
,,,,,1242,4.0,4,,,,,,
,,,,,1248,6.0,6,,,,,,
,,,,,1256,8.0,8,,,,,,
,,,,,1265,9.0,9,,,,,,
,,,,,1275,10.0,10,,,,,,
,,,,,1296,21.0,21,,,,,,
,,,,,1299,3.0,3,,,,,,
,,,,,1312,13.0,13,,,,,,
,,,,,1324,12.0,12,,,,,,
,,,,,1332,8.0,8,,,,,,
,,,,,1335,3.0,3,,,,,,
,,,,,1350,15.0,15,,,,,,
,,,,,1355,5.0,5,,,,,,
,,,,,1365,10.0,10,,,,,,
,,,,,1371,6.0,6,,,,,,
,,,,,1390,19.0,19,,,,,,
,,,,,1394,4.0,4,,,,,,
,,,,,1400,6.0,6,,,,,,
,,,,,1405,5.0,5,,,,,,
,,,,,1410,5.0,5,,,,,,
,,,,,1420,10.0,10,,,,,,
,,,,,1429,9.0,9,,,,,,
,,,,,1432,3.0,3,,,,,,
,,,,,1448,16.0,16,,,,,,
,,,,,1458,10.0,10,,,,,,
,,,,,1462,4.0,4,,,,,,
,,,,,1470,8.0,8,,,,,,
,,,,,1482,12.0,12,,,,,,
,,,,,1488,6.0,6,,,,,,
