value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.012398375198245049,-0.021652735769748688,0.03757324814796448,-0.09831099212169647,0.7620173692703247,0.11269646883010864,0.21225064992904663,-0.018697641789913177,6.052778244018555,0.4888622760772705,0
0.025085119530558586,-36.23991394042969,-4.600595951080322,-38.380882263183594,0.9549846053123474,-36.75263977050781,-3.8673906326293945,-39.02447509765625,8.523250579833984,0.19630852341651917,10000
0.08930319547653198,-52.98457336425781,0.7777705192565918,-60.818626403808594,0.9208518266677856,-53.630165100097656,1.1074657440185547,-61.26115798950195,13.275136947631836,0.20350971817970276,20000
0.153764009475708,-58.467872619628906,-3.6396045684814453,-73.379150390625,1.1628153324127197,-59.33238983154297,-2.805023193359375,-73.58275604248047,7.812299728393555,0.1950356811285019,30000
0.1248016431927681,-61.332542419433594,-2.5566563606262207,-79.34471893310547,0.9628411531448364,-61.708133697509766,-3.903242588043213,-79.47563934326172,9.87590217590332,0.2037879079580307,40000
0.09010698646306992,-61.60145568847656,-0.6901297569274902,-82.38375854492188,0.7062854766845703,-61.85222244262695,-1.5459015369415283,-82.44916534423828,8.201459884643555,0.20012310147285461,50000
0.12351612001657486,-60.89973449707031,0.3628731966018677,-83.76667785644531,1.0956734418869019,-61.291954040527344,-0.02029860019683838,-83.90531158447266,8.610068321228027,0.18619386851787567,60000
0.13612575829029083,-60.96879577636719,0.2894609272480011,-84.35639953613281,0.9864238500595093,-61.55080795288086,0.1551438421010971,-84.56084442138672,9.747077941894531,0.19759699702262878,70000
0.15882103145122528,-59.74351119995117,0.4087451100349426,-84.9432373046875,1.474867820739746,-60.14228057861328,0.31619173288345337,-84.9419937133789,6.234260082244873,0.20757125318050385,80000
0.0879838764667511,-59.806209564208984,0.3750923275947571,-85.08827209472656,0.7111659049987793,-60.27408981323242,-0.20207113027572632,-85.18032836914062,6.973089694976807,0.1990187168121338,90000
0.13937175273895264,-61.43975067138672,0.06009700894355774,-85.56660461425781,1.776806354522705,-61.21870040893555,0.017363235354423523,-85.55305480957031,11.675071716308594,0.19099780917167664,100000
0.13220927119255066,-60.582176208496094,-0.4268135130405426,-86.06959533691406,1.0999372005462646,-60.82257080078125,1.9929945468902588,-86.17524719238281,9.257994651794434,0.18607696890830994,110000
0.12859725952148438,-61.57795715332031,-7.6397786140441895,-86.71653747558594,1.0610136985778809,-61.96419906616211,-4.847725868225098,-86.83808135986328,9.256433486938477,0.21094059944152832,120000
0.08936707675457001,-62.07647705078125,0.03154870867729187,-87.22728729248047,0.9531512260437012,-62.630767822265625,1.52616548538208,-87.45858764648438,7.341817378997803,0.1780843734741211,130000
0.1099502444267273,-62.77202224731445,-0.2631029486656189,-88.20912170410156,0.9303653240203857,-63.31250762939453,-0.024807259440422058,-88.33745574951172,7.563048362731934,0.18699565529823303,140000
0.1188589408993721,-62.12650680541992,-1.2308109998703003,-88.8780746459961,0.826912522315979,-62.60796356201172,-2.287346363067627,-88.99321746826172,7.895092010498047,0.1936136782169342,150000
0.1495729386806488,-61.449462890625,-1.563641905784607,-89.63935852050781,6.971539497375488,-61.62464141845703,-1.6072062253952026,-89.66107940673828,8.87440013885498,0.18649640679359436,160000
