Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-624.8714,35.663357,-577.70825,-663.93005,1000.0,-541.4542,35.697838,-488.17874,-582.306,1000.0,31.631702423095703,42.79155349731445,155000,98.412526845932,,30
-537.2123,33.235733,-504.45862,-582.7836,1000.0,-518.29724,68.31306,-413.7966,-621.55994,1000.0,29.47589874267578,58.75916290283203,160000,101.45137524604797,,31
-480.80966,59.792046,-398.72342,-539.4318,1000.0,-519.77234,69.333595,-400.18634,-587.3484,1000.0,24.27198600769043,41.693206787109375,165000,104.63111543655396,,32
-504.0337,55.897064,-426.235,-555.0675,1000.0,-573.42584,83.59764,-456.6927,-669.2596,1000.0,11.618788719177246,45.750335693359375,170000,107.9070954322815,,33
-454.88687,45.93547,-400.17346,-512.574,1000.0,-454.82968,99.09859,-332.74368,-565.26086,1000.0,24.0605525970459,51.656978607177734,175000,111.22193741798401,,34
-516.6062,49.823414,-475.50146,-586.7203,1000.0,-548.9513,49.26562,-494.52814,-611.35803,1000.0,10.480978965759277,38.9020881652832,180000,114.53652238845825,,35
-474.13257,13.3205,-458.30493,-490.8933,1000.0,-427.4666,56.234497,-346.38638,-499.54092,1000.0,16.63114356994629,41.69315719604492,185000,117.73394703865051,,36
-496.11606,66.868095,-425.48413,-585.88715,1000.0,-499.8138,60.483425,-401.68307,-578.354,1000.0,5.800001621246338,35.75918197631836,190000,121.02257800102234,,37
-427.41446,35.333294,-390.65833,-475.1081,1000.0,-450.2001,50.429577,-399.12396,-540.2018,1000.0,2.849318027496338,44.64790344238281,195000,124.25023698806763,,38
-438.96823,62.262024,-352.61227,-497.04007,1000.0,-445.35733,24.101595,-404.1565,-471.6405,1000.0,7.7467145919799805,32.7792854309082,200000,127.52747225761414,,39
-410.01257,19.062807,-384.37866,-430.05884,1000.0,-430.21143,29.22309,-375.85815,-453.40723,1000.0,7.963620185852051,30.095972061157227,205000,130.67941999435425,,40
-454.49033,41.933594,-395.67468,-490.46918,1000.0,-482.33002,28.037859,-457.87518,-531.7896,1000.0,-2.5528035163879395,34.07658386230469,210000,133.8692216873169,,41
-420.32016,15.622454,-404.59644,-441.62317,1000.0,-466.0254,97.10926,-394.57745,-654.25604,1000.0,-3.2252230644226074,36.985050201416016,215000,136.97290325164795,,42
-446.44608,49.953182,-385.57837,-507.93347,1000.0,-415.14264,44.214264,-350.4165,-483.42545,1000.0,-2.3769452571868896,27.65409278869629,220000,140.15030336380005,,43
-454.775,27.681856,-432.58847,-493.80115,1000.0,-354.73233,37.798664,-295.8472,-403.95184,1000.0,3.2376205921173096,28.32325553894043,225000,143.3869059085846,,44
-455.95322,43.201538,-402.59106,-508.40094,1000.0,-391.73956,57.856304,-331.84604,-495.82257,1000.0,0.6445313096046448,25.694080352783203,230000,146.63965559005737,,45
