critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
0.9799751043319702,0.038545094430446625,0.12196693569421768,-0.052039649337530136,1.2001116275787354,15.271790504455566,15.1403169631958,0.13147377967834473,0.19848857820034027,0
0.41547805070877075,-22.72345542907715,-1.1682872772216797,-40.556190490722656,0.19734159111976624,21.988773345947266,0.6169198155403137,21.37185287475586,0.049723703414201736,10000
0.20205506682395935,-22.257020950317383,0.34599238634109497,-38.80027770996094,0.1698000729084015,21.87110710144043,0.48944738507270813,21.38166046142578,0.04024748131632805,20000
0.1982310712337494,-21.32193946838379,0.16858524084091187,-37.99027633666992,0.19142265617847443,21.012657165527344,0.5303078889846802,20.482349395751953,0.039972927421331406,30000
0.15724867582321167,-21.245197296142578,0.31317538022994995,-38.94324493408203,0.17774032056331635,20.952510833740234,0.35381653904914856,20.59869384765625,0.04179055616259575,40000
0.1160639151930809,-20.880033493041992,0.13416065275669098,-39.519317626953125,0.17612199485301971,20.526609420776367,0.48591363430023193,20.040695190429688,0.03854719549417496,50000
0.15620309114456177,-22.223384857177734,0.09897242486476898,-40.45001220703125,0.17612235248088837,21.968496322631836,0.5113197565078735,21.457176208496094,0.042442161589860916,60000
0.17126333713531494,-20.763748168945312,0.09770722687244415,-39.0061149597168,0.15791195631027222,20.55573844909668,0.5237745642662048,20.031963348388672,0.053431279957294464,70000
0.10252845287322998,-20.934528350830078,0.14996792376041412,-40.953285217285156,0.2205202877521515,20.627450942993164,0.3958485424518585,20.23160171508789,0.03696348890662193,80000
0.13049957156181335,-21.37752914428711,0.07666867971420288,-39.457149505615234,0.1772213876247406,21.102527618408203,0.46037328243255615,20.642154693603516,0.048413682729005814,90000
0.11053314805030823,-21.00387191772461,0.13640594482421875,-39.23200607299805,0.19804538786411285,20.67345428466797,0.4726479649543762,20.2008056640625,0.0421835258603096,100000
0.1005784422159195,-21.2998104095459,0.1276126354932785,-42.41982650756836,0.1766722947359085,20.976808547973633,0.4551057517528534,20.521703720092773,0.044328734278678894,110000
0.12049756199121475,-20.780227661132812,0.04970887303352356,-38.70765686035156,0.18860912322998047,20.549165725708008,0.5345554351806641,20.014610290527344,0.0484493188560009,120000
0.11802685260772705,-20.576704025268555,0.060934409499168396,-38.740760803222656,0.14447790384292603,20.14333152770996,0.4499395787715912,19.693391799926758,0.042004119604825974,130000
0.11549797654151917,-21.059326171875,0.09627223014831543,-46.959922790527344,0.17150160670280457,20.663162231445312,0.45604392886161804,20.20711898803711,0.0439768023788929,140000
0.07774709165096283,-21.286701202392578,0.07991352677345276,-38.3139533996582,0.17089176177978516,20.92133140563965,0.4489080011844635,20.472423553466797,0.03420070558786392,150000
0.10616253316402435,-20.962677001953125,0.11161087453365326,-38.43465805053711,0.13724824786186218,20.598228454589844,0.4418641924858093,20.15636444091797,0.042007382959127426,160000
0.10567614436149597,-20.531869888305664,0.0035740137100219727,-37.807273864746094,0.14153644442558289,20.234378814697266,0.418965607881546,19.815412521362305,0.0332181341946125,170000
0.11285673826932907,-20.01409912109375,0.09238645434379578,-46.24669647216797,0.16843007504940033,19.683889389038086,0.43154236674308777,19.252347946166992,0.036097269505262375,180000
0.09890580177307129,-21.496023178100586,0.11742408573627472,-38.68191146850586,0.18446581065654755,21.197296142578125,0.4297286868095398,20.767566680908203,0.04207183048129082,190000
0.08864779770374298,-20.88626480102539,0.0589485764503479,-38.04507827758789,0.15923261642456055,20.630592346191406,0.5134695172309875,20.117122650146484,0.03639114648103714,200000
0.10339587926864624,-20.79088592529297,0.08069616556167603,-46.3375129699707,0.1564442366361618,20.398508071899414,0.4837093949317932,19.914798736572266,0.039308011531829834,210000
0.09209802746772766,-20.3099308013916,0.051154524087905884,-36.884925842285156,0.1482512205839157,19.965234756469727,0.38064828515052795,19.58458709716797,0.03475051000714302,220000
0.11637180298566818,-20.783794403076172,0.004212886095046997,-46.14409255981445,0.1865769475698471,20.466341018676758,0.40928444266319275,20.057056427001953,0.04742871969938278,230000
0.09550641477108002,-19.644609451293945,0.0015256255865097046,-34.63646697998047,0.16202552616596222,19.29192543029785,0.4208744168281555,18.871051788330078,0.04192673787474632,240000
