Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,11257,-138.65541,75,,,,,,
,,,,,11350,-221.2518,93,,,,,,
,,,,,11429,-153.38617,79,,,,,,
,,,,,11482,-92.70992,53,,,,,,
,,,,,11576,-144.44324,94,,,,,,
,,,,,11697,-512.7174,121,,,,,,
,,,,,11773,-101.723755,76,,,,,,
,,,,,11832,-100.57882,59,,,,,,
,,,,,11913,-158.19308,81,,,,,,
,,,,,11977,-105.84532,64,,,,,,
,,,,,12066,-273.8382,89,,,,,,
,,,,,12144,-86.35924,78,,,,,,
,,,,,12238,-94.65294,94,,,,,,
,,,,,12316,-137.38043,78,,,,,,
,,,,,12369,-161.05328,53,,,,,,
,,,,,12444,-130.8224,75,,,,,,
,,,,,12523,-128.72565,79,,,,,,
,,,,,12621,-77.4131,98,,,,,,
,,,,,12678,-87.48707,57,,,,,,
,,,,,12745,-99.567535,67,,,,,,
,,,,,12805,-134.4277,60,,,,,,
,,,,,12871,-173.11975,66,,,,,,
,,,,,12942,-374.68524,71,,,,,,
,,,,,13019,51.92758,77,,,,,,
,,,,,13087,-93.62521,68,,,,,,
,,,,,13170,-197.84355,83,,,,,,
,,,,,13241,-102.72716,71,,,,,,
,,,,,13313,-84.243034,72,,,,,,
,,,,,13406,-114.89969,93,,,,,,
,,,,,13471,-54.357674,65,,,,,,
,,,,,13550,-211.05295,79,,,,,,
,,,,,13609,-161.15878,59,,,,,,
,,,,,13670,-96.92153,61,,,,,,
,,,,,13731,-94.82075,61,,,,,,
,,,,,13811,-16.812141,80,,,,,,
,,,,,13918,-114.54596,107,,,,,,
,,,,,14009,0.5937424,91,,,,,,
,,,,,14107,-104.11777,98,,,,,,
,,,,,14164,-133.46416,57,,,,,,
,,,,,14222,-115.080765,58,,,,,,
,,,,,14313,-463.91797,91,,,,,,
,,,,,14374,-78.15211,61,,,,,,
,,,,,14481,-165.88002,107,,,,,,
,,,,,14543,-184.62587,62,,,,,,
,,,,,14617,-122.90232,74,,,,,,
,,,,,14692,-81.304405,75,,,,,,
,,,,,14749,-85.800255,57,,,,,,
,,,,,14876,-301.6383,127,,,,,,
,,,,,14941,-122.345795,65,,,,,,
,,,,,15013,-97.08728,72,,,,,,
,,,,,15113,-123.603424,100,,,,,,
,,,,,15186,-158.7789,73,,,,,,
,,,,,15272,-128.7805,86,,,,,,
,,,,,15361,-137.40376,89,,,,,,
,,,,,15433,-114.47534,72,,,,,,
,,,,,15514,-124.84222,81,,,,,,
,,,,,15574,-94.22761,60,,,,,,
,,,,,15663,-175.25143,89,,,,,,
,,,,,15722,-101.19392,59,,,,,,
,,,,,15816,-127.48237,94,,,,,,
,,,,,15890,-111.41531,74,,,,,,
,,,,,15973,-107.34077,83,,,,,,
,,,,,16036,-88.96178,63,,,,,,
,,,,,16112,-139.0036,76,,,,,,
,,,,,16166,-115.37299,54,,,,,,
,,,,,16255,-131.56166,89,,,,,,
,,,,,16327,-141.73882,72,,,,,,
,,,,,16401,-134.8944,74,,,,,,
,,,,,16470,-124.851456,69,,,,,,
,,,,,16563,-119.63602,93,,,,,,
,,,,,16646,-123.90109,83,,,,,,
,,,,,16708,-79.52708,62,,,,,,
,,,,,16789,-75.116196,81,,,,,,
,,,,,16855,-119.97472,66,,,,,,
,,,,,16946,-134.64523,91,,,,,,
,,,,,17017,-112.032974,71,,,,,,
,,,,,17095,-206.40414,78,,,,,,
,,,,,17186,-120.218445,91,,,,,,
,,,,,17288,-103.17625,102,,,,,,
,,,,,17364,-123.55174,76,,,,,,
,,,,,17434,-141.83542,70,,,,,,
,,,,,17541,-181.21957,107,,,,,,
,,,,,17645,-129.57019,104,,,,,,
,,,,,17744,-178.29266,99,,,,,,
,,,,,17820,-15.661499,76,,,,,,
,,,,,17899,-117.10045,79,,,,,,
,,,,,17971,-100.68702,72,,,,,,
,,,,,18049,-119.64211,78,,,,,,
,,,,,18109,-107.64119,60,,,,,,
,,,,,18194,-38.78327,85,,,,,,
,,,,,18284,-33.776085,90,,,,,,
,,,,,18364,-129.67375,80,,,,,,
,,,,,18424,-105.013794,60,,,,,,
,,,,,18506,-8.398415,82,,,,,,
,,,,,18570,-136.53696,64,,,,,,
,,,,,18682,-130.55324,112,,,,,,
,,,,,18769,-292.65665,87,,,,,,
,,,,,18836,-119.17409,67,,,,,,
,,,,,18908,-124.68796,72,,,,,,
,,,,,18991,-90.258934,83,,,,,,
,,,,,19077,-120.72992,86,,,,,,
,,,,,19187,-380.71448,110,,,,,,
,,,,,19285,-138.1961,98,,,,,,
,,,,,19352,-62.484062,67,,,,,,
,,,,,19481,-207.80148,129,,,,,,
,,,,,19582,-6.3586197,101,,,,,,
,,,,,19655,-93.449776,73,,,,,,
,,,,,19717,-224.66809,62,,,,,,
,,,,,19776,-114.84437,59,,,,,,
,,,,,19845,-98.34021,69,,,,,,
,,,,,19972,-197.1069,127,,,,,,
-807.35,445.0246,-427.87967,-2036.4186,120.3,20000,,,161.51353454589844,-0.07342767715454102,-2.0427377223968506,17.557941436767578,0.88,0.001
,,,,,20056,-153.39293,84,,,,,,
,,,,,20160,-234.80792,104,,,,,,
,,,,,20232,-136.13283,72,,,,,,
,,,,,20289,-105.00631,57,,,,,,
,,,,,20352,-91.036064,63,,,,,,
,,,,,20480,-190.65479,128,,,,,,
,,,,,20573,-313.56256,93,,,,,,
,,,,,20671,-165.22818,98,,,,,,
,,,,,20748,-267.2872,77,,,,,,
,,,,,20844,-352.4077,96,,,,,,
,,,,,20939,-434.65628,95,,,,,,
,,,,,20995,-81.78708,56,,,,,,
,,,,,21000,,,82.32596588134766,-2.004352331161499,-1.179390788078308,39.53434753417969,0.874,0.001
,,,,,21114,-146.54532,119,,,,,,
,,,,,21176,-88.37189,62,,,,,,
,,,,,21263,-342.43225,87,,,,,,
,,,,,21363,-389.15936,100,,,,,,
,,,,,21490,-591.2704,127,,,,,,
,,,,,21574,-356.85303,84,,,,,,
,,,,,21677,-553.8459,103,,,,,,
,,,,,21772,-341.13556,95,,,,,,
,,,,,21837,-17.708557,65,,,,,,
,,,,,21945,-572.4215,108,,,,,,
,,,,,22000,,,1.8053175210952759,-0.01983020454645157,0.22959394752979279,12.335079193115234,0.868,0.001
