Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3007,10.464171,14,,,,,,,,
,,,,,3040,25.260393,33,,,,,,,,
,,,,,3056,8.2780695,16,,,,,,,,
,,,,,3073,14.036015,17,,,,,,,,
,,,,,3109,21.71976,36,,,,,,,,
,,,,,3129,8.399113,20,,,,,,,,
,,,,,3144,9.985957,15,,,,,,,,
,,,,,3157,11.841374,13,,,,,,,,
,,,,,3172,9.690453,15,,,,,,,,
,,,,,3188,10.490704,16,,,,,,,,
,,,,,3203,7.116115,15,,,,,,,,
,,,,,3219,6.9490457,16,,,,,,,,
,,,,,3230,8.127016,11,,,,,,,,
,,,,,3262,19.730757,32,,,,,,,,
,,,,,3293,26.807018,31,,,,,,,,
,,,,,3307,9.553098,14,,,,,,,,
,,,,,3333,17.690508,26,,,,,,,,
,,,,,3383,52.928818,50,,,,,,,,
,,,,,3405,22.319874,22,,,,,,,,
,,,,,3438,17.581755,33,,,,,,,,
,,,,,3475,52.42045,37,,,,,,,,
,,,,,3494,16.377249,19,,,,,,,,
,,,,,3504,8.380358,10,,,,,,,,
,,,,,3558,33.52061,54,,,,,,,,
,,,,,3568,8.105968,10,,,,,,,,
,,,,,3586,16.127762,18,,,,,,,,
,,,,,3603,13.470521,17,,,,,,,,
,,,,,3613,7.7044635,10,,,,,,,,
,,,,,3623,8.497618,10,,,,,,,,
,,,,,3657,38.514324,34,,,,,,,,
,,,,,3672,13.463149,15,,,,,,,,
,,,,,3687,9.139035,15,,,,,,,,
,,,,,3714,15.129097,27,,,,,,,,
,,,,,3729,14.474068,15,,,,,,,,
,,,,,3749,10.830652,20,,,,,,,,
,,,,,3771,13.136412,22,,,,,,,,
,,,,,3788,15.215838,17,,,,,,,,
,,,,,3812,23.36447,24,,,,,,,,
,,,,,3828,15.341,16,,,,,,,,
,,,,,3848,22.342815,20,,,,,,,,
,,,,,3872,22.425102,24,,,,,,,,
,,,,,3907,22.015305,35,,,,,,,,
,,,,,3927,13.828884,20,,,,,,,,
,,,,,3950,11.488547,23,,,,,,,,
,,,,,3966,8.304219,16,,,,,,,,
,,,,,3982,10.418881,16,,,,,,,,
,,,,,4002,19.485855,20,,,,,,,,
,,,,,4017,10.185892,15,,,,,,,,
,,,,,4030,11.713042,13,,,,,,,,
,,,,,4046,11.572137,16,,,,,,,,
,,,,,4064,9.018909,18,,,,,,,,
,,,,,4108,30.431786,44,,,,,,,,
,,,,,4124,12.0967655,16,,,,,,,,
,,,,,4151,26.40145,27,,,,,,,,
,,,,,4162,9.322744,11,,,,,,,,
,,,,,4179,18.625738,17,,,,,,,,
,,,,,4198,15.145538,19,,,,,,,,
,,,,,4227,33.584675,29,,,,,,,,
,,,,,4238,8.815021,11,,,,,,,,
,,,,,4249,7.6998115,11,,,,,,,,
,,,,,4271,17.685875,22,,,,,,,,
,,,,,4293,22.701773,22,,,,,,,,
,,,,,4305,9.644251,12,,,,,,,,
,,,,,4324,12.664481,19,,,,,,,,
,,,,,4341,12.107351,17,,,,,,,,
,,,,,4368,8.531159,27,,,,,,,,
,,,,,4378,8.306517,10,,,,,,,,
,,,,,4388,7.354826,10,,,,,,,,
,,,,,4401,10.409442,13,,,,,,,,
,,,,,4414,11.34085,13,,,,,,,,
,,,,,4432,10.972891,18,,,,,,,,
,,,,,4450,19.750025,18,,,,,,,,
,,,,,4481,27.716742,31,,,,,,,,
,,,,,4506,13.045145,25,,,,,,,,
,,,,,4539,34.160122,33,,,,,,,,
,,,,,4560,14.536991,21,,,,,,,,
,,,,,4577,12.400491,17,,,,,,,,
,,,,,4587,8.357995,10,,,,,,,,
,,,,,4613,14.711809,26,,,,,,,,
,,,,,4645,41.356888,32,,,,,,,,
,,,,,4664,22.886078,19,,,,,,,,
,,,,,4676,8.479967,12,,,,,,,,
,,,,,4691,7.025913,15,,,,,,,,
,,,,,4708,15.15828,17,,,,,,,,
,,,,,4750,36.086266,42,,,,,,,,
,,,,,4772,12.01584,22,,,,,,,,
,,,,,4796,15.965563,24,,,,,,,,
,,,,,4862,61.765774,66,,,,,,,,
,,,,,4880,17.537601,18,,,,,,,,
,,,,,4926,64.52503,46,,,,,,,,
,,,,,4952,29.529707,26,,,,,,,,
,,,,,4971,12.058767,19,,,,,,,,
,,,,,4994,12.166846,23,,,,,,,,
16.725857,9.82847,40.38085,8.413403,21.1,5000,,,,,,,,,,
,,,,,5020,26.53878,26,,,,,,,,
,,,,,5046,27.543985,26,,,,,,,,
,,,,,5058,8.215028,12,,,,,,,,
,,,,,5068,8.040025,10,,,,,,,,
,,,,,5092,15.56081,24,,,,,,,,
,,,,,5114,17.650635,22,,,,,,,,
,,,,,5152,26.059486,38,,,,,,,,
,,,,,5171,13.291063,19,,,,,,,,
,,,,,5208,11.232889,37,,,,,,,,
,,,,,5229,14.372314,21,,,,,,,,
,,,,,5247,10.383243,18,,,,,,,,
,,,,,5265,16.523535,18,,,,,,,,
,,,,,5285,18.062862,20,,,,,,,,
,,,,,5302,5.288022,17,,,,,,,,
,,,,,5318,15.043622,16,,,,,,,,
,,,,,5330,9.194159,12,,,,,,,,
,,,,,5342,9.236574,12,,,,,,,,
,,,,,5364,16.935358,22,,,,,,,,
,,,,,5387,12.047819,23,,,,,,,,
,,,,,5402,14.554841,15,,,,,,,,
,,,,,5426,23.184153,24,,,,,,,,
,,,,,5445,19.04236,19,,,,,,,,
,,,,,5485,38.64987,40,,,,,,,,
,,,,,5504,19.430326,19,,,,,,,,
,,,,,5535,35.60144,31,,,,,,,,
,,,,,5554,21.35429,19,,,,,,,,
,,,,,5579,11.598826,25,,,,,,,,
,,,,,5596,16.922197,17,,,,,,,,
,,,,,5611,12.11197,15,,,,,,,,
,,,,,5635,25.90227,24,,,,,,,,
,,,,,5650,13.03142,15,,,,,,,,
,,,,,5666,12.762184,16,,,,,,,,
,,,,,5679,10.918875,13,,,,,,,,
,,,,,5692,10.371886,13,,,,,,,,
,,,,,5703,9.702674,11,,,,,,,,
,,,,,5717,10.259847,14,,,,,,,,
,,,,,5745,33.072968,28,,,,,,,,
,,,,,5777,32.71869,32,,,,,,,,
,,,,,5801,11.665472,24,,,,,,,,
,,,,,5815,9.933176,14,,,,,,,,
,,,,,5831,11.039212,16,,,,,,,,
,,,,,5842,8.340655,11,,,,,,,,
,,,,,5856,12.561494,14,,,,,,,,
,,,,,5874,19.286907,18,,,,,,,,
