critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9972056746482849,-0.09841197729110718,0.1121506318449974,-0.2801545560359955,2.741457462310791,0.3394865095615387,7.517157554626465,-5.11518669128418,0.7517157793045044,9.053215026855469,0.9997000694274902,0
0.25327029824256897,-38.6995735168457,0.05908183753490448,-40.38913345336914,40.68816375732422,38.6412239074707,1.7329132556915283,0.31402650475502014,0.17329132556915283,0.26036953926086426,0.13306641578674316,10000
0.9939682483673096,-58.29270553588867,0.25526395440101624,-63.67510986328125,59.70903015136719,58.048240661621094,1.3234474658966064,0.33733969926834106,0.13234475255012512,-0.010266647674143314,0.08564433455467224,20000
0.5188305377960205,-63.002166748046875,0.36250439286231995,-77.82777404785156,64.53414916992188,62.780029296875,1.3862719535827637,0.36785367131233215,0.13862720131874084,-0.013219083659350872,0.08620522171258926,30000
0.40935978293418884,-67.89986419677734,-0.0330929309129715,-85.89373779296875,69.32647705078125,67.64264678955078,1.3530230522155762,0.330810546875,0.13530230522155762,0.01603519730269909,0.08639999479055405,40000
0.8767476081848145,-72.88253021240234,0.11344045400619507,-89.64923095703125,74.57164001464844,72.93203735351562,1.2736399173736572,0.36596229672431946,0.12736399471759796,-0.007687536999583244,0.08646272122859955,50000
0.6044037342071533,-73.00215148925781,-0.08549171686172485,-92.39269256591797,74.43700408935547,72.8065185546875,1.2877395153045654,0.3427397906780243,0.12877395749092102,0.006752597633749247,0.08769230544567108,60000
0.6982011795043945,-72.61659240722656,0.045783787965774536,-94.30123138427734,74.05262756347656,72.31610107421875,1.3943074941635132,0.34221839904785156,0.13943074643611908,0.013304687105119228,0.08738673478364944,70000
0.41369321942329407,-72.46894073486328,0.14004158973693848,-95.77719116210938,73.78079223632812,72.25698852539062,1.2003730535507202,0.3234354853630066,0.12003730237483978,-0.004552572965621948,0.08682873100042343,80000
0.44145262241363525,-76.01791381835938,-0.5275031924247742,-96.9448013305664,77.32918548583984,75.75955963134766,1.2266035079956055,0.3430265784263611,0.12266034632921219,0.013968647457659245,0.0877658948302269,90000
0.5319355130195618,-74.90090942382812,-0.2632698714733124,-97.96295166015625,76.28839874267578,74.67646789550781,1.2870086431503296,0.32492363452911377,0.1287008672952652,0.02571764774620533,0.08740642666816711,100000
0.4191749691963196,-74.26605224609375,-0.41099482774734497,-98.7181625366211,75.60832214355469,74.06973266601562,1.160501480102539,0.3780878782272339,0.11605015397071838,-0.0109054921194911,0.08793942630290985,110000
0.5780836343765259,-76.61663818359375,-5.114687442779541,-99.24703979492188,78.0296401977539,76.41468048095703,1.2540953159332275,0.36086350679397583,0.12540952861309052,-0.004936579614877701,0.08763112872838974,120000
0.4393007457256317,-76.15702819824219,0.03457704186439514,-99.67969512939453,77.36417388916016,75.82093811035156,1.1760693788528442,0.36716824769973755,0.11760693788528442,-0.022448716685175896,0.08704344928264618,130000
0.6198892593383789,-76.52909088134766,-0.14433714747428894,-100.03502655029297,77.74008178710938,76.18605041503906,1.1900203227996826,0.3640098571777344,0.11900202929973602,0.013711388222873211,0.08755127340555191,140000
0.38432836532592773,-77.88851928710938,-0.5012816190719604,-100.1888198852539,79.30701446533203,77.73234558105469,1.2167071104049683,0.35796618461608887,0.12167070806026459,0.0023145347367972136,0.08781614899635315,150000
0.684594452381134,-77.79556274414062,-0.07260251045227051,-100.45296478271484,79.23906707763672,77.63905334472656,1.255241870880127,0.34477540850639343,0.12552419304847717,-0.007051997818052769,0.08763142675161362,160000
0.497734397649765,-76.76052856445312,-0.07324746251106262,-100.6675033569336,78.01941680908203,76.55400085449219,1.1228792667388916,0.34253689646720886,0.11228792369365692,0.00641650753095746,0.08784093707799911,170000
0.32636359333992004,-77.92903900146484,-0.1496638059616089,-100.78105926513672,79.3468017578125,77.71461486816406,1.2736296653747559,0.35856056213378906,0.12736296653747559,0.0021177143789827824,0.08786802738904953,180000
0.48718321323394775,-76.72319793701172,-0.4177635908126831,-100.76533508300781,77.8553695678711,76.41885375976562,1.0690090656280518,0.3675050139427185,0.1069009080529213,-0.004939588718116283,0.08759921044111252,190000
0.6167418956756592,-76.48787689208984,-0.25244030356407166,-100.93004608154297,77.68875885009766,76.25115966796875,1.0848853588104248,0.3527158796787262,0.108488529920578,-0.019786465913057327,0.08803166449069977,200000
0.32625043392181396,-79.23748016357422,0.0027278363704681396,-101.04766845703125,80.55362701416016,79.04977416992188,1.150174617767334,0.3536737859249115,0.11501746624708176,0.0018555130809545517,0.08862895518541336,210000
0.40634164214134216,-76.9509048461914,-0.09891578555107117,-101.06687927246094,78.16703033447266,76.7409439086914,1.0703098773956299,0.3557734489440918,0.10703098773956299,-0.012383898720145226,0.08832675218582153,220000
0.5785986185073853,-75.9728012084961,-10.62435531616211,-100.91158294677734,77.08097839355469,75.64875030517578,1.0595320463180542,0.3726934790611267,0.10595320165157318,-0.018297359347343445,0.08826605975627899,230000
0.45401647686958313,-78.01299285888672,0.2075282335281372,-101.07032775878906,79.26068115234375,77.81038665771484,1.085830807685852,0.3644610643386841,0.10858307778835297,-0.0075197662226855755,0.08764586597681046,240000
0.4976040720939636,-78.02043151855469,-0.030684590339660645,-101.06653594970703,79.33892822265625,77.76317596435547,1.2318711280822754,0.3438760042190552,0.1231871098279953,-0.005144917871803045,0.08801869302988052,250000
0.47937071323394775,-75.63143920898438,-0.023814022541046143,-101.04425048828125,76.8373031616211,75.32071685791016,1.1742855310440063,0.3423027992248535,0.11742855608463287,-0.009899362921714783,0.08848335593938828,260000
0.2582215666770935,-78.11466979980469,0.1805858314037323,-101.11363220214844,79.5270004272461,77.96173858642578,1.210168480873108,0.35509589314460754,0.12101684510707855,-0.0005976135726086795,0.08905548602342606,270000
0.3236784040927887,-78.10834503173828,-0.028454571962356567,-101.16690826416016,79.29450225830078,77.86885833740234,1.0779057741165161,0.34773701429367065,0.10779058188199997,0.012865686789155006,0.08823511004447937,280000
0.49231332540512085,-77.86265563964844,0.2462010383605957,-101.27821350097656,79.202392578125,77.60440063476562,1.2407042980194092,0.35728171467781067,0.1240704357624054,0.012601337395608425,0.08838097006082535,290000
0.30074140429496765,-78.11747741699219,-0.11603516340255737,-101.2292251586914,79.40572357177734,77.8799819946289,1.1386274099349976,0.38711684942245483,0.11386273801326752,0.0034001381136476994,0.08867061138153076,300000
0.42308399081230164,-78.26922607421875,-0.04616469144821167,-101.28131866455078,79.5323715209961,78.0906982421875,1.0763835906982422,0.36529093980789185,0.10763835906982422,-0.012338138185441494,0.08887392282485962,310000
0.45121002197265625,-76.81194305419922,0.060283392667770386,-101.24256896972656,78.14701080322266,76.60653686523438,1.1947336196899414,0.3457377851009369,0.11947336792945862,-0.014386201277375221,0.08807877451181412,320000
0.547610878944397,-78.36083221435547,-0.005129873752593994,-101.28328704833984,79.5299072265625,78.0995101928711,1.0774140357971191,0.3529849946498871,0.10774140805006027,0.011120717972517014,0.08801565319299698,330000
0.3905174434185028,-75.39152526855469,-0.017540693283081055,-101.31317138671875,76.63114929199219,75.13862609863281,1.1331536769866943,0.3593675196170807,0.11331537365913391,-0.019180521368980408,0.08900787681341171,340000
0.5224600434303284,-78.02793884277344,-0.03451657295227051,-101.25383758544922,79.25129699707031,77.79991912841797,1.0969816446304321,0.35439544916152954,0.10969816148281097,-0.006679851561784744,0.08834831416606903,350000
0.36372697353363037,-77.22859954833984,-0.15142220258712769,-101.2627182006836,78.46550750732422,76.9779052734375,1.134395718574524,0.35319915413856506,0.11343957483768463,-0.001262577949091792,0.08817078173160553,360000
0.33247870206832886,-78.45043182373047,-0.5625185370445251,-101.29762268066406,79.70204162597656,78.25080871582031,1.1194238662719727,0.33181285858154297,0.11194238066673279,0.009483245201408863,0.08938109129667282,370000
0.20283861458301544,-79.46278381347656,-0.12921518087387085,-101.24987030029297,80.80281829833984,79.28326416015625,1.1820887327194214,0.3374652862548828,0.1182088777422905,0.026611529290676117,0.08954741805791855,380000
0.39381247758865356,-76.18814086914062,-0.016423910856246948,-101.25496673583984,77.45899963378906,75.97557067871094,1.121448278427124,0.36198607087135315,0.1121448278427124,-0.01402687095105648,0.0895686224102974,390000
0.26684048771858215,-77.81199645996094,-0.11232104897499084,-101.27369689941406,79.14727020263672,77.68742370605469,1.0893782377243042,0.3704689145088196,0.1089378222823143,-0.012424523942172527,0.08962223678827286,400000
0.3224693238735199,-76.51665496826172,0.07752516865730286,-101.25183868408203,77.69837188720703,76.30726623535156,1.0531882047653198,0.3379179835319519,0.1053188219666481,0.016311362385749817,0.08882037550210953,410000
0.2655024826526642,-76.9949951171875,-0.09716257452964783,-101.24446868896484,78.20407104492188,76.73616027832031,1.1186909675598145,0.34921878576278687,0.11186909675598145,0.013237670995295048,0.08930974453687668,420000
0.3260195255279541,-76.90350341796875,-0.21044060587882996,-101.08519744873047,78.18406677246094,76.71321105957031,1.1231954097747803,0.3476640284061432,0.11231954395771027,-0.005013660993427038,0.08857742697000504,430000
0.5052598714828491,-77.3300552368164,0.02313712239265442,-101.29513549804688,78.59376525878906,77.06774139404297,1.1516934633255005,0.37433022260665894,0.11516934633255005,-0.004978143144398928,0.08987314254045486,440000
0.3233265280723572,-76.74725341796875,-0.07245075702667236,-100.97440338134766,78.1699447631836,76.57725524902344,1.235660195350647,0.35703593492507935,0.12356601655483246,0.01178721059113741,0.08861513435840607,450000
0.27980881929397583,-78.55955505371094,0.028007298707962036,-101.22161865234375,79.77549743652344,78.37400817871094,1.0323052406311035,0.36918285489082336,0.10323052108287811,-0.001984736882150173,0.09009706228971481,460000
0.2619124948978424,-79.15727233886719,-0.052623093128204346,-101.19366455078125,80.42017364501953,79.01385498046875,1.0270142555236816,0.37930262088775635,0.10270142555236816,-0.009792732074856758,0.08881325274705887,470000
0.4594932496547699,-75.13743591308594,0.03797653317451477,-100.77677154541016,76.39257049560547,74.87973022460938,1.1508395671844482,0.36200326681137085,0.1150839626789093,-0.010285488329827785,0.08911611139774323,480000
0.3293144106864929,-78.38565063476562,-0.23400813341140747,-100.83903503417969,79.71015167236328,78.25456237792969,1.1328158378601074,0.32277441024780273,0.11328157782554626,-0.015870770439505577,0.08927658200263977,490000
0.40118294954299927,-77.45328521728516,-0.17477595806121826,-101.2180404663086,78.54057312011719,77.19175720214844,0.9818453788757324,0.36697059869766235,0.09818454086780548,0.008684205822646618,0.0898832231760025,500000
0.36794471740722656,-76.80130004882812,0.3036763370037079,-101.21492004394531,78.00991821289062,76.60725402832031,1.0336123704910278,0.36905133724212646,0.10336124151945114,-0.02944696694612503,0.08915797621011734,510000
0.4036981463432312,-78.91519165039062,-0.4199674427509308,-100.6572494506836,80.16092681884766,78.67081451416016,1.1408121585845947,0.3492978811264038,0.11408121138811111,0.017259107902646065,0.08971410244703293,520000
0.2657112777233124,-80.35139465332031,-0.2776263952255249,-101.21690368652344,81.62816619873047,80.14878845214844,1.111037015914917,0.3683401942253113,0.11110370606184006,-0.009506132453680038,0.08979282528162003,530000
0.3864680528640747,-76.47369384765625,0.009826600551605225,-100.86502075195312,77.69636535644531,76.3431167602539,1.0236138105392456,0.3296320140361786,0.10236138105392456,0.00830866489559412,0.08888108283281326,540000
0.3450171649456024,-78.1903076171875,-0.13550543785095215,-101.18802642822266,79.51815032958984,77.91815948486328,1.2507028579711914,0.3492889404296875,0.12507028877735138,0.02207905799150467,0.08931194245815277,550000
0.2515125870704651,-78.435546875,-0.005631595849990845,-101.20063781738281,79.69625854492188,78.30412292480469,1.0376710891723633,0.35446542501449585,0.10376711189746857,0.0042034718208014965,0.09010037034749985,560000
0.23391032218933105,-79.42042541503906,-0.0645495355129242,-101.24491119384766,80.76028442382812,79.23905944824219,1.1573792695999146,0.36384791135787964,0.1157379224896431,-0.002879927633330226,0.08906801789999008,570000
0.20324300229549408,-81.74360656738281,-0.09297719597816467,-101.2594223022461,82.94170379638672,81.62918853759766,0.954477071762085,0.3580421209335327,0.09544770419597626,-0.023618623614311218,0.0891718789935112,580000
0.3129107356071472,-78.78047943115234,0.20079410076141357,-101.18762969970703,80.03533172607422,78.56295776367188,1.1053848266601562,0.3669918179512024,0.11053848266601562,-0.02687397412955761,0.08883822709321976,590000
0.31189119815826416,-78.46170043945312,0.005474656820297241,-101.21898651123047,79.88248443603516,78.32086181640625,1.1884723901748657,0.3731553554534912,0.11884723603725433,-0.005666281096637249,0.08965688943862915,600000
0.3122110366821289,-78.67168426513672,0.285408616065979,-100.4922103881836,79.92647552490234,78.39398193359375,1.1805574893951416,0.35193538665771484,0.11805574595928192,-0.0333024263381958,0.0896323025226593,610000
0.303744375705719,-79.19466400146484,-1.366377353668213,-101.06204986572266,80.40095520019531,78.95079040527344,1.0934549570083618,0.3567143976688385,0.10934549570083618,-0.010194709524512291,0.08978854864835739,620000
0.2655409276485443,-76.40410614013672,-0.0915287435054779,-100.44295501708984,77.87203216552734,76.1976318359375,1.2882461547851562,0.386150985956192,0.1288246214389801,-0.022193780168890953,0.08915343135595322,630000
