train/loss,epoch,step
0.9884747862815857,0,0
,,0
0.1540917605161667,0,100
0.12096180021762848,1,200
0.1305685043334961,1,300
0.1206158846616745,2,400
0.12056592106819153,2,500
0.1147390678524971,3,600
0.10097987949848175,3,700
0.11337225884199142,4,800
0.10603269189596176,4,900
0.08904237300157547,5,1000
0.095940500497818,5,1100
0.09291030466556549,6,1200
0.10245603322982788,6,1300
0.07711445540189743,7,1400
0.07794834673404694,7,1500
0.08622220903635025,8,1600
0.0992632508277893,8,1700
0.10407999902963638,9,1800
0.0994366705417633,10,1900
0.09432506561279297,10,2000
0.08044806122779846,11,2100
0.07951189577579498,11,2200
0.07204505801200867,12,2300
0.08018923550844193,12,2400
0.08820866793394089,13,2500
0.0716286450624466,13,2600
0.07855914533138275,14,2700
0.056299712508916855,14,2800
0.08348142355680466,15,2900
0.06464754790067673,15,3000
0.0618806853890419,16,3100
0.05888050049543381,16,3200
0.052341725677251816,17,3300
0.06566297262907028,17,3400
0.06698378920555115,18,3500
0.06496600061655045,19,3600
0.06068702042102814,19,3700
0.06587307155132294,20,3800
0.07988852262496948,20,3900
0.06376417726278305,21,4000
0.07439666241407394,21,4100
0.05620937421917915,22,4200
0.06125880032777786,22,4300
0.060882654041051865,23,4400
0.055104099214076996,23,4500
0.056688226759433746,24,4600
0.059941139072179794,24,4700
0.056148871779441833,25,4800
0.08252537250518799,25,4900
0.04777129739522934,26,5000
0.054932720959186554,26,5100
0.04809068888425827,27,5200
0.04934168606996536,28,5300
0.05291803553700447,28,5400
0.06563423573970795,29,5500
0.06229907274246216,29,5600
0.07283014059066772,30,5700
0.06797483563423157,30,5800
0.04399862140417099,31,5900
0.04188626632094383,31,6000
0.05487477406859398,32,6100
0.05770669877529144,32,6200
0.052387386560440063,33,6300
0.060156501829624176,33,6400
0.07440655678510666,34,6500
0.05681382492184639,34,6600
0.04556506127119064,35,6700
0.04823937639594078,35,6800
0.04632473737001419,36,6900
0.05141839757561684,37,7000
0.04467558115720749,37,7100
0.05368679016828537,38,7200
0.04871886968612671,38,7300
0.04570813104510307,39,7400
0.06514257192611694,39,7500
0.056064970791339874,40,7600
0.056617338210344315,40,7700
0.04607066512107849,41,7800
0.0607774518430233,41,7900
0.05546785891056061,42,8000
0.058517199009656906,42,8100
0.057486392557621,43,8200
0.055055491626262665,43,8300
0.051620423793792725,44,8400
0.05262451618909836,44,8500
0.053618308156728745,45,8600
0.04942760616540909,46,8700
0.04512574523687363,46,8800
0.05511762201786041,47,8900
0.039883360266685486,47,9000
0.033993661403656006,48,9100
0.052731454372406006,48,9200
0.05271496623754501,49,9300
0.04471036419272423,49,9400
0.0473337322473526,50,9500
0.03583617880940437,50,9600
0.03622741624712944,51,9700
0.03720860555768013,51,9800
0.049949780106544495,52,9900
0.03851983696222305,52,10000
,,10000
0.04656606912612915,53,10100
0.04704555496573448,53,10200
0.03745245188474655,54,10300
0.0435921847820282,55,10400
0.03385988995432854,55,10500
0.05402536690235138,56,10600
0.037717703729867935,56,10700
0.04443690925836563,57,10800
0.04336756467819214,57,10900
0.0275060273706913,58,11000
0.0457569882273674,58,11100
0.03827611356973648,59,11200
0.035504475235939026,59,11300
0.04628957062959671,60,11400
0.038672253489494324,60,11500
0.042889080941677094,61,11600
0.035828523337841034,61,11700
0.041392795741558075,62,11800
0.03342195600271225,62,11900
0.05246762931346893,63,12000
0.03660468012094498,64,12100
0.03901910036802292,64,12200
0.04977443069219589,65,12300
0.05008717626333237,65,12400
0.03242041543126106,66,12500
0.035362258553504944,66,12600
0.0522833988070488,67,12700
0.043015990406274796,67,12800
0.04208042472600937,68,12900
0.02940095029771328,68,13000
0.06332369148731232,69,13100
0.035867542028427124,69,13200
0.041220854967832565,70,13300
0.044577986001968384,70,13400
0.03949105367064476,71,13500
0.026268381625413895,71,13600
0.037821900099515915,72,13700
0.03783469274640083,73,13800
0.035334110260009766,73,13900
0.04170271009206772,74,14000
0.04163438826799393,74,14100
0.03445378690958023,75,14200
0.046738527715206146,75,14300
0.034641604870557785,76,14400
0.03314349055290222,76,14500
0.03482101857662201,77,14600
0.028071779757738113,77,14700
0.035970721393823624,78,14800
0.035945262759923935,78,14900
0.03503209352493286,79,15000
0.038442887365818024,79,15100
0.03472167253494263,80,15200
0.03974008560180664,80,15300
0.030855584889650345,81,15400
0.03280384838581085,82,15500
0.04248489439487457,82,15600
0.04295399785041809,83,15700
0.04535558074712753,83,15800
0.03682756423950195,84,15900
0.028759675100445747,84,16000
0.03107941523194313,85,16100
0.038149937987327576,85,16200
0.027530912309885025,86,16300
0.03426070138812065,86,16400
0.02816784381866455,87,16500
0.034552544355392456,87,16600
0.03564992547035217,88,16700
0.030396945774555206,88,16800
0.026451779529452324,89,16900
0.02502908557653427,89,17000
0.02866591140627861,90,17100
0.029006022959947586,91,17200
0.03174306079745293,91,17300
0.040372833609580994,92,17400
0.038290709257125854,92,17500
0.03560454770922661,93,17600
0.0457785427570343,93,17700
0.030496256425976753,94,17800
0.02808898314833641,94,17900
0.0276479609310627,95,18000
0.032783590257167816,95,18100
0.030156122520565987,96,18200
0.02915813773870468,96,18300
0.03436483442783356,97,18400
0.035613611340522766,97,18500
0.03268494829535484,98,18600
0.03832028806209564,98,18700
0.026133021339774132,99,18800
0.037315405905246735,100,18900
0.02144782617688179,100,19000
0.03214861452579498,101,19100
0.028809044510126114,101,19200
0.03533189743757248,102,19300
0.03412863612174988,102,19400
0.030021514743566513,103,19500
0.030717039480805397,103,19600
0.027280941605567932,104,19700
0.043789125978946686,104,19800
0.027762167155742645,105,19900
0.02497178502380848,105,20000
,,20000
0.0350496843457222,106,20100
0.037169359624385834,106,20200
0.033149879425764084,107,20300
0.035041652619838715,107,20400
0.03465302288532257,108,20500
0.04572101682424545,108,20600
0.026452574878931046,109,20700
0.04346159100532532,110,20800
0.03405436873435974,110,20900
0.031724415719509125,111,21000
0.03630581870675087,111,21100
