Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-821.94806,339.06613,-429.61624,-1508.9178,98.7,0,,,,,,,,
,,,,,104,-185.25381,105,,,,,,
,,,,,175,-159.61005,71,,,,,,
,,,,,260,-105.54912,85,,,,,,
,,,,,319,-23.792824,59,,,,,,
,,,,,399,-220.15646,80,,,,,,
,,,,,458,-104.39626,59,,,,,,
,,,,,532,-115.099724,74,,,,,,
,,,,,599,-232.79347,67,,,,,,
,,,,,662,-128.92262,63,,,,,,
,,,,,757,-128.80255,95,,,,,,
,,,,,815,-114.74197,58,,,,,,
,,,,,878,-111.79306,63,,,,,,
,,,,,934,-109.72234,56,,,,,,
,,,,,1011,-99.81879,77,,,,,,
,,,,,1066,-118.21073,55,,,,,,
,,,,,1137,-116.98258,71,,,,,,
,,,,,1224,-86.797066,87,,,,,,
,,,,,1294,-123.96051,70,,,,,,
,,,,,1370,-268.82108,76,,,,,,
,,,,,1439,40.53714,69,,,,,,
,,,,,1504,-220.26349,65,,,,,,
,,,,,1589,-94.82921,85,,,,,,
,,,,,1663,-124.97922,74,,,,,,
,,,,,1750,-94.19871,87,,,,,,
,,,,,1831,-122.38826,81,,,,,,
,,,,,1895,-128.50104,64,,,,,,
,,,,,1971,-104.00763,76,,,,,,
,,,,,2032,-91.684395,61,,,,,,
,,,,,2117,-117.10275,85,,,,,,
,,,,,2177,-125.133286,60,,,,,,
,,,,,2265,-84.62807,88,,,,,,
,,,,,2325,-164.85538,60,,,,,,
,,,,,2388,-60.04022,63,,,,,,
,,,,,2481,-86.5487,93,,,,,,
,,,,,2563,-195.04938,82,,,,,,
,,,,,2639,-113.62355,76,,,,,,
,,,,,2717,-142.02756,78,,,,,,
,,,,,2810,-86.71265,93,,,,,,
,,,,,2896,-188.2627,86,,,,,,
,,,,,2968,-120.61829,72,,,,,,
,,,,,3038,-93.28409,70,,,,,,
,,,,,3113,-203.53003,75,,,,,,
,,,,,3182,-124.98572,69,,,,,,
,,,,,3265,-185.3436,83,,,,,,
,,,,,3343,-144.19142,78,,,,,,
,,,,,3427,-104.2336,84,,,,,,
,,,,,3511,-163.01868,84,,,,,,
,,,,,3582,-89.51706,71,,,,,,
,,,,,3657,-315.97012,75,,,,,,
,,,,,3760,-151.42987,103,,,,,,
,,,,,3815,-79.73896,55,,,,,,
,,,,,3882,-49.068417,67,,,,,,
,,,,,3942,-96.23017,60,,,,,,
,,,,,4007,-361.54318,65,,,,,,
,,,,,4090,4.0117645,83,,,,,,
,,,,,4146,-145.8787,56,,,,,,
,,,,,4218,-142.39473,72,,,,,,
,,,,,4312,-165.11243,94,,,,,,
