Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-129.83105,73.62208,-55.682518,-371.82843,85.08333333333333,-186.99765,104.49886,16.925865,-406.62912,93.9090909090909,-135.12820434570312,11446.6298828125,2066,1.4458534717559814,-186.99765,0
-165.28891,91.60704,9.450394,-382.1598,89.78260869565217,-194.37056,119.92032,-50.453094,-482.43863,88.26086956521739,-141.77198791503906,13402.201171875,4096,2.7506825923919678,,1
-126.852425,77.60472,15.87542,-379.88242,85.04166666666667,-127.16016,70.25588,-5.4039307,-363.94427,86.95833333333333,-79.36670684814453,5064.98388671875,6183,3.9597766399383545,,2
-130.76384,62.443493,-23.88536,-332.689,87.875,-159.41061,100.70004,6.4313507,-511.34448,84.29166666666667,-102.16545867919922,9110.2578125,8206,5.176122426986694,,3
-151.55254,85.06794,-77.00705,-459.01636,80.6,-131.98665,42.243336,-74.12166,-235.66107,81.52,-84.77812957763672,4334.7744140625,10244,6.358798027038574,,4
-140.36127,60.611813,-0.35725403,-278.25604,85.41666666666667,-132.73987,74.98377,26.324356,-345.5675,81.36,-70.73101043701172,5227.57080078125,12278,7.532358407974243,,5
-125.71269,65.183945,19.53434,-263.17682,89.08695652173913,-149.89417,65.92776,-64.24406,-361.38507,82.08,-86.79364776611328,5760.1015625,14330,8.725274801254272,,6
-120.8974,29.767206,-51.833958,-165.03677,84.5,-143.05699,76.13488,-75.46879,-376.9449,86.0,-77.38533020019531,5417.06494140625,16394,9.929638385772705,,7
-105.85952,46.521465,-20.574509,-238.78604,81.24,-116.18685,43.16494,-3.9388733,-221.0206,76.85185185185185,-52.45417022705078,2449.521240234375,18469,11.090981006622314,,8
-130.44887,45.74625,-61.130043,-247.17198,83.83333333333333,-129.24773,44.396976,-78.35306,-236.33784,84.58333333333333,-59.499671936035156,2714.06005859375,20499,12.265403985977173,,9
-130.66994,62.36665,-13.884453,-345.67487,81.16,-120.72491,31.753647,-51.924988,-177.56366,87.04347826086956,-42.85576248168945,1707.5750732421875,22501,13.426542520523071,,10
-122.57263,41.280518,-48.760185,-203.92645,84.91666666666667,-113.0559,44.817837,4.5082245,-242.1418,82.64,-41.3461799621582,1682.55517578125,24567,14.607733249664307,,11
-124.28411,55.912437,-47.707233,-283.66492,81.4,-121.40664,35.45383,-63.169743,-202.41724,91.0,-39.08228302001953,1329.1015625,26569,15.785725831985474,,12
-138.64967,69.41399,-76.30371,-324.7469,84.75,-122.730835,72.85855,34.108902,-270.39975,83.91666666666667,-32.23845672607422,2760.315185546875,28583,16.97010374069214,,13
-124.473274,46.19502,-34.497437,-241.7981,83.91666666666667,-129.77606,55.419037,-41.09347,-261.5313,86.04166666666667,-35.394840240478516,1628.970947265625,30648,18.15658211708069,,14
-93.7251,40.620907,3.5468826,-158.97646,85.95833333333333,-110.61208,36.620052,-37.44765,-218.70651,85.79166666666667,-26.043502807617188,1179.8897705078125,32707,19.34969663619995,,15
-104.9789,51.164864,34.581375,-223.85007,81.84,-104.976715,33.235943,3.4123535,-162.72008,81.04,-21.247583389282227,1015.539306640625,34733,20.538366317749023,,16
-96.85597,49.580395,49.73326,-197.12294,143.2941176470588,-116.61277,74.49957,5.7064133,-403.939,83.54166666666667,-25.977060317993164,2439.276611328125,36738,22.191524505615234,,17
-130.12547,56.81083,-31.144371,-322.35123,86.875,-132.22112,64.759605,-36.912758,-328.09927,95.57142857142857,-37.44588088989258,2224.19091796875,38745,23.40108633041382,,18
-110.3933,39.87627,-22.352411,-216.26741,87.21739130434783,-120.23049,47.929714,-47.35545,-247.0324,85.875,-25.540042877197266,1243.6883544921875,40806,24.611105918884277,,19
-140.31258,51.779663,-59.01395,-240.71594,97.52380952380952,-146.28613,67.81083,-28.155373,-315.1089,94.4090909090909,-38.015167236328125,2578.552001953125,42883,25.83588457107544,,20
-105.189064,79.37528,33.756416,-399.26398,88.78260869565217,-154.39458,68.08322,-58.629196,-279.77014,98.04761904761905,-39.253475189208984,2754.4619140625,44942,27.04839015007019,,21
-88.86258,49.849007,50.62683,-228.79167,88.34782608695652,-92.90264,43.115456,-33.979477,-234.67749,87.34782608695652,-1.8664201498031616,865.7102661132812,46951,28.22348713874817,,22
-107.23888,71.71868,-25.566528,-359.75583,89.65217391304348,-123.92438,47.140335,-61.773888,-243.53366,97.23809523809524,-16.280311584472656,1079.35205078125,48993,29.41776967048645,,23
-90.23783,32.490013,-26.950691,-156.49779,95.28571428571429,-102.42004,34.24145,-53.294502,-190.65509,90.26086956521739,-6.036026954650879,692.8038940429688,51069,30.60649585723877,,24
