Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,42000,,,2.6227293014526367,6.720615863800049,6.4333295822143555,53.429832458496094,0.9546250000000001,9.97915625e-05
,,,,,42217,220.0,1962,,,,,,
,,,,,42703,160.0,1962,,,,,,
,,,,,43000,,,8.573698043823242,6.243769645690918,6.587417125701904,90.54039001464844,0.9525625,9.968739583333334e-05
,,,,,43237,260.0,2146,,,,,,
,,,,,43649,160.0,1674,,,,,,
,,,,,44000,,,0.5987018346786499,6.1718363761901855,6.070199966430664,20.150785446166992,0.9505,9.958322916666667e-05
,,,,,44128,230.0,1938,,,,,,
,,,,,44557,150.0,1738,,,,,,
,,,,,45000,,,7.001523971557617,7.272562026977539,7.774609088897705,94.80791473388672,0.9484375,9.947906250000001e-05
,,,,,45080,220.0,2114,,,,,,
,,,,,45735,210.0,2626,,,,,,
,,,,,46000,,,6.846563339233398,6.584382057189941,7.34655237197876,104.3887939453125,0.946375,9.937489583333334e-05
,,,,,46185,220.0,1802,,,,,,
,,,,,46638,100.0,1826,,,,,,
,,,,,47000,,,17.66939926147461,6.758559226989746,7.355241775512695,191.30828857421875,0.9443125,9.927072916666668e-05
,,,,,47081,190.0,1770,,,,,,
,,,,,47500,130.0,1682,,,,,,
,,,,,47947,240.0,1794,,,,,,
,,,,,48000,,,8.461743354797363,10.232307434082031,9.882416725158691,155.35272216796875,0.94225,9.916656250000001e-05
,,,,,48476,330.0,2122,,,,,,
,,,,,48930,190.0,1842,,,,,,
,,,,,49000,,,1.9368960857391357,8.315034866333008,8.316781997680664,47.694725036621094,0.9401875,9.906239583333335e-05
,,,,,49415,220.0,1962,,,,,,
,,,,,49927,180.0,2050,,,,,,
793.0,389.257,1280.0,290.0,2714.8,50000,,,1.7637288570404053,8.818500518798828,8.081400871276855,158.6949462890625,0.938125,9.895822916666668e-05
,,,,,50384,220.0,1850,,,,,,
,,,,,50876,200.0,1994,,,,,,
,,,,,51000,,,6.218336582183838,11.03598403930664,11.042920112609863,104.82093811035156,0.9360625,9.88540625e-05
,,,,,51339,310.0,1866,,,,,,
,,,,,51737,200.0,1618,,,,,,
,,,,,52000,,,8.871954917907715,13.421480178833008,13.34074592590332,117.68736267089844,0.9339999999999999,9.874989583333334e-05
,,,,,52061,160.0,1314,,,,,,
,,,,,52488,220.0,1730,,,,,,
,,,,,53000,,,4.44490385055542,10.224218368530273,9.815649032592773,156.32028198242188,0.9319375,9.864572916666666e-05
,,,,,53144,570.0,2634,,,,,,
,,,,,53594,160.0,1802,,,,,,
,,,,,54000,,,11.934935569763184,11.479596138000488,13.253900527954102,395.7362976074219,0.929875,9.85415625e-05
,,,,,54079,220.0,1962,,,,,,
,,,,,54725,490.0,2610,,,,,,
,,,,,55000,,,4.736698150634766,13.675939559936523,13.250699043273926,194.37344360351562,0.9278125,9.843739583333333e-05
,,,,,55152,70.0,1714,,,,,,
,,,,,55807,250.0,2626,,,,,,
,,,,,56000,,,6.753764629364014,12.868997573852539,13.177231788635254,133.4329071044922,0.92575,9.833322916666668e-05
,,,,,56300,170.0,1986,,,,,,
,,,,,56782,250.0,1946,,,,,,
,,,,,57000,,,6.973150253295898,11.103626251220703,11.72027587890625,165.4976043701172,0.9236875,9.82290625e-05
,,,,,57219,170.0,1762,,,,,,
,,,,,57650,80.0,1730,,,,,,
,,,,,58000,,,2.329664945602417,10.842082977294922,11.36709976196289,142.45159912109375,0.921625,9.812489583333335e-05
,,,,,58115,240.0,1858,,,,,,
,,,,,58767,390.0,2626,,,,,,
,,,,,59000,,,2.175053119659424,10.826769828796387,10.80352783203125,77.05589294433594,0.9195625000000001,9.802072916666668e-05
,,,,,59287,270.0,2082,,,,,,
,,,,,59728,180.0,1786,,,,,,
448.0,81.46165,610.0,400.0,2449.2,60000,,,3.789438247680664,13.816591262817383,13.97542953491211,94.67381286621094,0.9175,9.79165625e-05
,,,,,60190,260.0,1858,,,,,,
,,,,,60692,250.0,2010,,,,,,
,,,,,61000,,,3.8937935829162598,13.56991958618164,13.245966911315918,165.96412658691406,0.9154375,9.781239583333333e-05
,,,,,61192,250.0,2018,,,,,,
,,,,,61689,300.0,2002,,,,,,
,,,,,62000,,,2.0505800247192383,13.68059253692627,12.794149398803711,177.62261962890625,0.913375,9.770822916666668e-05
,,,,,62187,180.0,2018,,,,,,
,,,,,62646,260.0,1850,,,,,,
,,,,,63000,160.0,1442,,,,,,
,,,,,63000,,,4.4702959060668945,13.249700546264648,12.804916381835938,119.74209594726562,0.9113125,9.76040625e-05
,,,,,63501,240.0,2010,,,,,,
,,,,,63984,200.0,1954,,,,,,
,,,,,64000,,,9.347838401794434,14.790762901306152,15.602012634277344,325.9158020019531,0.90925,9.749989583333335e-05
,,,,,64458,230.0,1914,,,,,,
,,,,,65000,,,6.134966850280762,15.404863357543945,15.807389259338379,156.45664978027344,0.9071875,9.739572916666667e-05
,,,,,65083,270.0,2514,,,,,,
,,,,,65459,160.0,1522,,,,,,
,,,,,65984,340.0,2106,,,,,,
,,,,,66000,,,6.894705295562744,13.485916137695312,13.766674995422363,135.576171875,0.905125,9.72915625e-05
,,,,,66420,220.0,1754,,,,,,
,,,,,66840,290.0,1698,,,,,,
,,,,,67000,,,2.39249849319458,13.257879257202148,13.596385955810547,125.01008605957031,0.9030625,9.718739583333334e-05
,,,,,67313,210.0,1906,,,,,,
,,,,,67814,280.0,2026,,,,,,
,,,,,68000,,,1.799222469329834,17.11151885986328,16.693511962890625,132.86277770996094,0.901,9.708322916666667e-05
,,,,,68280,150.0,1890,,,,,,
,,,,,68772,170.0,1994,,,,,,
,,,,,69000,,,2.9319465160369873,17.58971405029297,17.819087982177734,107.32720184326172,0.8989375,9.69790625e-05
,,,,,69504,420.0,2930,,,,,,
,,,,,69991,270.0,1970,,,,,,
604.0,339.71164,1120.0,280.0,2529.2,70000,,,6.637740612030029,19.65669822692871,18.819961547851562,228.7784423828125,0.896875,9.687489583333333e-05
,,,,,70516,200.0,2114,,,,,,
,,,,,71000,,,5.1761674880981445,17.879432678222656,17.892589569091797,162.97471618652344,0.8948125,9.677072916666667e-05
,,,,,71054,290.0,2154,,,,,,
,,,,,71453,200.0,1602,,,,,,
,,,,,71958,190.0,2042,,,,,,
,,,,,72000,,,4.587028503417969,18.17974853515625,17.493743896484375,241.39234924316406,0.89275,9.66665625e-05
,,,,,72441,200.0,1954,,,,,,
,,,,,72961,370.0,2098,,,,,,
,,,,,73000,,,8.927617073059082,16.723669052124023,15.44084358215332,511.10003662109375,0.8906875,9.656239583333334e-05
,,,,,73552,330.0,2386,,,,,,
,,,,,73989,160.0,1762,,,,,,
,,,,,74000,,,10.388360023498535,20.52314567565918,20.02435874938965,285.554443359375,0.888625,9.645822916666667e-05
