Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,1746,12.0,12,,,,,,
,,,,,1756,10.0,10,,,,,,
,,,,,1766,10.0,10,,,,,,
,,,,,1777,11.0,11,,,,,,
,,,,,1790,13.0,13,,,,,,
,,,,,1802,12.0,12,,,,,,
,,,,,1821,19.0,19,,,,,,
,,,,,1833,12.0,12,,,,,,
,,,,,1846,13.0,13,,,,,,
,,,,,1858,12.0,12,,,,,,
,,,,,1869,11.0,11,,,,,,
,,,,,1879,10.0,10,,,,,,
,,,,,1891,12.0,12,,,,,,
,,,,,1903,12.0,12,,,,,,
,,,,,1919,16.0,16,,,,,,
,,,,,1929,10.0,10,,,,,,
,,,,,1940,11.0,11,,,,,,
,,,,,1952,12.0,12,,,,,,
,,,,,1963,11.0,11,,,,,,
,,,,,1976,13.0,13,,,,,,
,,,,,1991,15.0,15,,,,,,
,,,,,2000,,,0.005268965847790241,1.142476201057434,1.1396397352218628,0.019850555807352066,0.94,0.0005
,,,,,2006,15.0,15,,,,,,
,,,,,2026,20.0,20,,,,,,
,,,,,2036,10.0,10,,,,,,
,,,,,2049,13.0,13,,,,,,
,,,,,2059,10.0,10,,,,,,
,,,,,2069,10.0,10,,,,,,
,,,,,2078,9.0,9,,,,,,
,,,,,2090,12.0,12,,,,,,
,,,,,2100,10.0,10,,,,,,
,,,,,2111,11.0,11,,,,,,
,,,,,2121,10.0,10,,,,,,
,,,,,2132,11.0,11,,,,,,
,,,,,2142,10.0,10,,,,,,
,,,,,2152,10.0,10,,,,,,
,,,,,2162,10.0,10,,,,,,
,,,,,2171,9.0,9,,,,,,
,,,,,2181,10.0,10,,,,,,
,,,,,2191,10.0,10,,,,,,
,,,,,2203,12.0,12,,,,,,
,,,,,2211,8.0,8,,,,,,
,,,,,2219,8.0,8,,,,,,
,,,,,2228,9.0,9,,,,,,
,,,,,2238,10.0,10,,,,,,
,,,,,2247,9.0,9,,,,,,
,,,,,2256,9.0,9,,,,,,
,,,,,2271,15.0,15,,,,,,
,,,,,2282,11.0,11,,,,,,
,,,,,2292,10.0,10,,,,,,
,,,,,2304,12.0,12,,,,,,
,,,,,2312,8.0,8,,,,,,
,,,,,2322,10.0,10,,,,,,
,,,,,2332,10.0,10,,,,,,
,,,,,2340,8.0,8,,,,,,
,,,,,2350,10.0,10,,,,,,
,,,,,2360,10.0,10,,,,,,
,,,,,2376,16.0,16,,,,,,
,,,,,2387,11.0,11,,,,,,
,,,,,2400,13.0,13,,,,,,
,,,,,2420,20.0,20,,,,,,
,,,,,2430,10.0,10,,,,,,
,,,,,2439,9.0,9,,,,,,
,,,,,2449,10.0,10,,,,,,
,,,,,2458,9.0,9,,,,,,
,,,,,2467,9.0,9,,,,,,
,,,,,2476,9.0,9,,,,,,
,,,,,2494,18.0,18,,,,,,
