Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-1153.6152,557.2602,-556.86597,-2149.905,146.8,0,,,,,,,,
,,,,,70,-291.47266,71,,,,,,
,,,,,125,-114.46771,55,,,,,,
,,,,,182,-133.81061,57,,,,,,
,,,,,248,-162.682,66,,,,,,
,,,,,334,-415.26962,86,,,,,,
,,,,,413,-145.07263,79,,,,,,
,,,,,507,-87.04832,94,,,,,,
,,,,,581,-131.58484,74,,,,,,
,,,,,689,27.44429,108,,,,,,
,,,,,744,-95.622536,55,,,,,,
,,,,,819,-216.03418,75,,,,,,
,,,,,894,-283.0179,75,,,,,,
,,,,,995,-239.57938,101,,,,,,
,,,,,1051,-101.20321,56,,,,,,
,,,,,1122,-100.45844,71,,,,,,
,,,,,1195,-113.01248,73,,,,,,
,,,,,1251,-104.30773,56,,,,,,
,,,,,1315,-98.113014,64,,,,,,
,,,,,1402,-61.806046,87,,,,,,
,,,,,1476,-103.90508,74,,,,,,
,,,,,1564,-146.80228,88,,,,,,
,,,,,1657,-117.935715,93,,,,,,
,,,,,1719,-82.943504,62,,,,,,
,,,,,1806,-213.85036,87,,,,,,
,,,,,1906,0.6899643,100,,,,,,
,,,,,1988,-106.306404,82,,,,,,
,,,,,2078,-139.6697,90,,,,,,
,,,,,2172,-107.78,94,,,,,,
,,,,,2254,-47.71788,82,,,,,,
,,,,,2308,-155.7983,54,,,,,,
,,,,,2382,-197.04893,74,,,,,,
,,,,,2451,-105.10978,69,,,,,,
,,,,,2517,-119.31772,66,,,,,,
,,,,,2573,-73.243835,56,,,,,,
,,,,,2662,-115.36784,89,,,,,,
,,,,,2771,-143.58318,109,,,,,,
,,,,,2854,-32.573418,83,,,,,,
,,,,,2941,-68.06803,87,,,,,,
,,,,,3028,-111.94616,87,,,,,,
,,,,,3091,-129.64731,63,,,,,,
,,,,,3147,-96.951416,56,,,,,,
,,,,,3240,-10.151978,93,,,,,,
,,,,,3320,-120.44818,80,,,,,,
,,,,,3376,-155.4565,56,,,,,,
,,,,,3433,-85.64415,57,,,,,,
,,,,,3541,-381.8197,108,,,,,,
,,,,,3640,-194.09375,99,,,,,,
,,,,,3734,1.2196121,94,,,,,,
,,,,,3819,-181.00533,85,,,,,,
,,,,,3887,-293.27307,68,,,,,,
,,,,,3962,-120.151924,75,,,,,,
,,,,,4055,-354.7649,93,,,,,,
,,,,,4137,-81.871704,82,,,,,,
,,,,,4190,-102.56097,53,,,,,,
,,,,,4251,-50.14084,61,,,,,,
,,,,,4340,-115.74577,89,,,,,,
,,,,,4418,-254.36786,78,,,,,,
,,,,,4522,-351.43723,104,,,,,,
,,,,,4615,9.679871,93,,,,,,
,,,,,4719,-188.13696,104,,,,,,
,,,,,4778,-97.72078,59,,,,,,
,,,,,4839,-125.36902,61,,,,,,
,,,,,4929,-244.8435,90,,,,,,
,,,,,5001,-127.76004,72,,,,,,
,,,,,5063,-273.84122,62,,,,,,
,,,,,5113,-116.24693,50,,,,,,
,,,,,5216,-251.26726,103,,,,,,
,,,,,5276,-129.19528,60,,,,,,
,,,,,5340,-304.31415,64,,,,,,
,,,,,5414,-148.60873,74,,,,,,
,,,,,5490,-11.464111,76,,,,,,
,,,,,5552,-202.87466,62,,,,,,
