Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,10394,-93.95388,54,,,,,,
,,,,,10449,-117.86903,55,,,,,,
,,,,,10507,-76.91525,58,,,,,,
,,,,,10620,-157.40155,113,,,,,,
,,,,,10703,-109.35595,83,,,,,,
,,,,,10776,-351.59235,73,,,,,,
,,,,,10841,-308.28568,65,,,,,,
,,,,,10907,-145.09161,66,,,,,,
,,,,,10976,-97.99051,69,,,,,,
,,,,,11068,-172.89854,92,,,,,,
,,,,,11153,-126.33102,85,,,,,,
,,,,,11221,-233.44238,68,,,,,,
,,,,,11287,-156.91197,66,,,,,,
,,,,,11383,-305.29517,96,,,,,,
,,,,,11477,-109.36507,94,,,,,,
,,,,,11547,-152.95029,70,,,,,,
,,,,,11638,-275.4521,91,,,,,,
,,,,,11732,-81.211426,94,,,,,,
,,,,,11792,-107.94175,60,,,,,,
,,,,,11858,-402.91037,66,,,,,,
,,,,,11942,-137.27736,84,,,,,,
,,,,,12034,-278.707,92,,,,,,
,,,,,12103,-47.364155,69,,,,,,
,,,,,12187,-119.5553,84,,,,,,
,,,,,12286,-119.57126,99,,,,,,
,,,,,12342,-102.37436,56,,,,,,
,,,,,12405,-102.84197,63,,,,,,
,,,,,12511,-60.736397,106,,,,,,
,,,,,12573,-96.83009,62,,,,,,
,,,,,12642,-81.98808,69,,,,,,
,,,,,12710,-118.73088,68,,,,,,
,,,,,12803,-162.4275,93,,,,,,
,,,,,12908,-127.83434,105,,,,,,
,,,,,12983,-223.90866,75,,,,,,
,,,,,13051,-96.444695,68,,,,,,
,,,,,13106,-157.863,55,,,,,,
,,,,,13192,-87.45262,86,,,,,,
,,,,,13274,-447.65775,82,,,,,,
,,,,,13344,-111.48387,70,,,,,,
,,,,,13400,-51.682228,56,,,,,,
,,,,,13457,-73.26615,57,,,,,,
,,,,,13555,-98.00562,98,,,,,,
,,,,,13621,-94.84383,66,,,,,,
,,,,,13687,-175.86035,66,,,,,,
,,,,,13783,-204.82677,96,,,,,,
,,,,,13873,-303.9363,90,,,,,,
,,,,,13934,-82.05098,61,,,,,,
,,,,,14016,-68.73009,82,,,,,,
,,,,,14087,-122.93562,71,,,,,,
,,,,,14179,-126.40335,92,,,,,,
,,,,,14259,-214.17842,80,,,,,,
,,,,,14327,-96.19936,68,,,,,,
,,,,,14389,-133.75714,62,,,,,,
,,,,,14452,-113.3826,63,,,,,,
,,,,,14515,-128.42061,63,,,,,,
,,,,,14584,-99.30296,69,,,,,,
,,,,,14661,-226.34648,77,,,,,,
,,,,,14754,-167.31914,93,,,,,,
,,,,,14852,-133.65298,98,,,,,,
,,,,,14935,-101.76348,83,,,,,,
,,,,,15007,-104.35176,72,,,,,,
,,,,,15064,-74.5108,57,,,,,,
,,,,,15162,-374.886,98,,,,,,
,,,,,15249,-64.086075,87,,,,,,
,,,,,15367,-308.7552,118,,,,,,
,,,,,15438,-83.674194,71,,,,,,
,,,,,15512,-181.5708,74,,,,,,
,,,,,15608,-93.63088,96,,,,,,
,,,,,15708,-123.48916,100,,,,,,
,,,,,15785,-124.891335,77,,,,,,
,,,,,15853,-109.64215,68,,,,,,
,,,,,15936,-405.5972,83,,,,,,
,,,,,16020,-132.96465,84,,,,,,
,,,,,16128,-148.08884,108,,,,,,
,,,,,16204,-114.65693,76,,,,,,
,,,,,16295,-286.96924,91,,,,,,
,,,,,16364,-155.68158,69,,,,,,
,,,,,16420,-102.98404,56,,,,,,
,,,,,16504,-117.54031,84,,,,,,
,,,,,16572,-79.939606,68,,,,,,
,,,,,16642,-80.06562,70,,,,,,
,,,,,16705,-84.167854,63,,,,,,
,,,,,16789,-159.45682,84,,,,,,
,,,,,16856,-91.05754,67,,,,,,
,,,,,16951,-166.97574,95,,,,,,
,,,,,17045,-93.33878,94,,,,,,
,,,,,17110,-131.10529,65,,,,,,
,,,,,17212,-43.832508,102,,,,,,
,,,,,17303,-238.7549,91,,,,,,
,,,,,17383,-133.34644,80,,,,,,
,,,,,17449,-153.70624,66,,,,,,
,,,,,17516,-114.0168,67,,,,,,
,,,,,17631,-52.852524,115,,,,,,
,,,,,17700,-91.29637,69,,,,,,
,,,,,17793,-117.394745,93,,,,,,
,,,,,17883,-99.04947,90,,,,,,
,,,,,17978,-145.33604,95,,,,,,
,,,,,18978,33.534565,1000,,,,,,
,,,,,19042,-105.33382,64,,,,,,
,,,,,19143,-306.55713,101,,,,,,
,,,,,19208,-109.94454,65,,,,,,
,,,,,19277,-116.94621,69,,,,,,
,,,,,19354,-108.40846,77,,,,,,
,,,,,19433,-127.15749,79,,,,,,
